,0,1
725,387775,SLC22A10
726,55885,LMO3
727,390429,OR4N2
728,79570,NKAIN1
729,26018,LRIG1
730,4625,MYH7
731,80723,SLC35G2
732,60484,HAPLN2
733,1133,CHRM5
734,285382,C3ORF70
735,79041,TMEM38A
736,26251,KCNG2
737,57181,SLC39A10
738,2520,GAST
739,347731,LRRTM3
740,9764,KIAA0513
741,199699,DAND5
742,94015,TTYH2
743,285175,UNC80
744,145447,ABHD12B
745,576,ADGRB2
746,57447,NDRG2
747,84620,ST6GAL2
748,25927,CNRIP1
749,257194,NEGR1
750,441308,OR4F21
751,54511,HMGCLL1
752,375759,C9ORF50
753,8120,AP3B2
754,419,ART3
755,57180,ACTR3B
756,28512,NKIRAS1
757,5453,POU3F1
758,11250,GPR45
759,255027,MPV17L
760,56154,TEX15
761,343263,MYBPHL
762,8851,CDK5R1
763,10715,CERS1
764,4684,NCAM1
765,10368,CACNG3
766,6622,SNCA
767,222553,SLC35F1
768,80150,ASRGL1
769,339512,CCDC190
770,285525,YIPF7
771,3881,KRT31
772,9892,SNAP91
773,9023,CH25H
774,4760,NEUROD1
775,388323,GLTPD2
776,2830,GPR6
777,57460,PPM1H
778,389075,RESP18
779,23101,MCF2L2
780,9379,NRXN2
781,4345,CD200
782,7546,ZIC2
783,283576,ZDHHC22
784,1579,CYP4A11
785,118812,MORN4
786,2845,GPR22
787,79929,MAP6D1
788,221223,CES5A
789,56344,CABP5
790,158399,ZNF483
791,22848,AAK1
792,645369,TMEM200C
793,353133,LCE1C
794,5568,PRKACG
795,57468,SLC12A5
796,9515,STXBP5L
797,114880,OSBPL6
798,93426,SYCE1
799,80863,PRRT1
800,5080,PAX6
801,56130,PCDHB6
802,1759,DNM1
803,284348,LYPD5
804,54704,PDP1
805,23321,TRIM2
806,23208,SYT11
807,54777,CFAP46
808,80309,SPHKAP
809,9829,DNAJC6
810,11023,VAX1
811,79747,ADGB
812,10744,PTTG2
813,164127,CCDC185
814,375607,NAT16
815,11170,FAM107A
816,442444,FAM47C
817,255426,RASGEF1C
818,6507,SLC1A3
819,3897,L1CAM
820,84504,NKX6-2
821,22911,WDR47
822,9229,DLGAP1
823,150280,HORMAD2
824,3785,KCNQ2
825,150946,GAREM2
826,2834,PRLHR
827,4342,MOS
828,266743,NPAS4
829,782,CACNB1
830,26052,DNM3
831,117248,GALNT15
832,83694,RPS6KL1
833,1299,COL9A3
834,3696,ITGB8
835,9240,PNMA1
836,5046,PCSK6
837,221074,SLC39A12
838,253559,CADM2
839,6833,ABCC8
840,2262,GPC5
841,6857,SYT1
842,3747,KCNC2
843,1608,DGKG
844,90853,SPOCD1
845,54514,DDX4
846,23542,MAPK8IP2
847,132200,C3ORF49
848,57822,GRHL3
849,401335,C7ORF65
850,398,ARHGDIG
851,10231,RCAN2
852,222183,SRRM3
853,340205,TREML1
854,7275,TUB
855,8140,SLC7A5
856,117154,DACH2
857,83698,CALN1
858,2864,FFAR1
859,57110,PLAAT1
860,4973,OLR1
861,4693,NDP
862,6295,SAG
863,65078,RTN4R
864,41,ASIC1
865,7201,TRHR
866,146378,C16ORF92
867,2709,GJB5
868,11197,WIF1
869,58510,PRODH2
870,23026,MYO16
871,163933,FAM43B
872,146167,SLC38A8
873,9947,MAGEC1
874,3250,HPR
875,59285,CACNG6
876,2824,GPM6B
877,5582,PRKCG
878,781,CACNA2D1
879,4130,MAP1A
880,2788,GNG7
881,57529,RTL9
882,89795,NAV3
883,140689,CBLN4
884,50861,STMN3
885,9289,ADGRG1
886,114805,GALNT13
887,26047,CNTNAP2
888,11141,IL1RAPL1
889,9543,IGDCC3
890,4293,MAP3K9
