,GeneID,symbol
964,150280,HORMAD2
965,3785,KCNQ2
966,150946,GAREM2
967,2834,PRLHR
968,4342,MOS
970,266743,NPAS4
971,782,CACNB1
972,26052,DNM3
973,117248,GALNT15
974,83694,RPS6KL1
975,1299,COL9A3
976,3696,ITGB8
977,9240,PNMA1
978,5046,PCSK6
979,221074,SLC39A12
980,253559,CADM2
981,6833,ABCC8
982,2262,GPC5
983,6857,SYT1
984,3747,KCNC2
986,1608,DGKG
987,90853,SPOCD1
988,54514,DDX4
989,23542,MAPK8IP2
990,132200,C3orf49
991,64100,ELSPBP1
992,57822,GRHL3
993,401335,C7orf65
994,398,ARHGDIG
995,9081,PRY
996,10231,RCAN2
997,222183,SRRM3
998,340205,TREML1
999,7275,TUB
1000,56142,PCDHA6
1001,8140,SLC7A5
1002,117154,DACH2
1003,83698,CALN1
1004,2864,FFAR1
1005,57110,PLAAT1
1006,4973,OLR1
1007,4693,NDP
1009,6295,SAG
1010,65078,RTN4R
1011,41,ASIC1
1012,390036,OR52K1
1014,7201,TRHR
1015,146378,C16orf92
1016,2709,GJB5
1017,11197,WIF1
1018,58510,PRODH2
1019,23026,MYO16
1020,163933,FAM43B
1021,146167,SLC38A8
1022,9947,MAGEC1
1023,3250,HPR
1024,59285,CACNG6
1025,2824,GPM6B
1026,2832,NPBWR2
1027,5582,PRKCG
1028,781,CACNA2D1
1029,200504,GKN2
1030,4130,MAP1A
1031,2788,GNG7
1032,57529,RTL9
1033,89795,NAV3
1034,140689,CBLN4
1035,50861,STMN3
1036,9289,ADGRG1
1037,114805,GALNT13
1038,26047,CNTNAP2
1039,11141,IL1RAPL1
1040,9543,IGDCC3
1041,4293,MAP3K9
1043,55118,CRTAC1
1044,91156,IGFN1
1045,338761,C1QL4
1046,150209,AIFM3
1047,783,CACNB2
1048,285601,GPR150
1049,5414,SEPTIN4
1050,3626,INHBC
1051,9783,RIMS3
1053,23284,ADGRL3
1054,5063,PAK3
1055,84867,PTPN5
1056,2986,GUCY2F
1057,64902,AGXT2
1058,256297,PTF1A
1059,6407,SEMG2
1060,23122,CLASP2
1061,51195,RAPGEFL1
1062,79966,SCD5
1063,7547,ZIC3
1064,9248,GPR50
1065,114960,TSGA13
1066,5621,PRNP
1067,55248,PACC1
1068,5764,PTN
1069,9228,DLGAP2
1070,134288,TMEM174
1071,6656,SOX1
1072,338557,FFAR4
1073,4644,MYO5A
1074,84929,FIBCD1
1075,165215,FAM171B
1076,387804,VSTM5
1077,2259,FGF14
1078,79957,PAQR6
1079,2565,GABRG1
1080,221002,RASGEF1A
1081,3083,HGFAC
1082,5864,RAB3A
1083,50810,HDGFL3
1084,375612,LHFPL3
1085,5454,POU3F2
1086,2138,EYA1
1087,2905,GRIN2C
1088,57596,BEGAIN
1089,404217,CTXN1
1090,23710,GABARAPL1
1091,144448,TSPAN19
1092,5020,OXT
1093,9312,KCNB2
1094,448834,KPRP
1095,730130,TMEM229A
1096,653641,GOLGA6C
1097,2637,GBX2
1098,57622,LRFN1
1099,53919,SLCO1C1
1100,53358,SHC3
1101,139599,MAGEE2
1102,4208,MEF2C
1103,79006,METRN
1105,57475,PLEKHH1
1106,56139,PCDHA10
1107,146177,VWA3A
1108,84894,LINGO1
1109,83873,GPR61
1110,20,ABCA2
1111,146330,FBXL16
1112,51480,VCX2
1113,79632,FAM184A
1114,27133,KCNH5
1115,4948,OCA2
1116,7345,UCHL1
1117,5276,SERPINI2
1118,5502,PPP1R1A
1119,127795,C1orf87
1120,283514,SIAH3
1121,84722,PSRC1
1122,199731,CADM4
1123,89853,MVB12B
1124,84891,ZSCAN10
1125,627,BDNF
1126,26059,ERC2
1127,85416,ZIC5
1128,100130771,EFCAB10
1129,1993,ELAVL2
1130,30820,KCNIP1
1131,440955,TMEM89
1132,4435,CITED1
1133,147323,STARD6
1134,9672,SDC3
1135,9805,SCRN1
1136,220963,SLC16A9
1137,80034,CSRNP3
1139,64084,CLSTN2
1140,7484,WNT9B
1141,222662,LHFPL5
1142,134526,ACOT12
1143,7478,WNT8A
1144,338322,NLRP10
1145,139081,MAGEC3
1146,5581,PRKCE
1147,375704,ENHO
1148,56302,TRPV5
1149,2898,GRIK2
1150,152789,JAKMIP1
1151,1795,DOCK3
1152,1750,DLX6
1153,339479,BRINP3
1154,1852,DUSP9
1155,4340,MOG
1156,9762,LZTS3
1157,25818,KLK5
1158,83659,TEKT1
1159,2020,EN2
1160,23415,KCNH4
1161,121278,TPH2
1162,7976,FZD3
1163,55607,PPP1R9A
1165,84666,RETNLB
1166,152065,C3orf22
1167,10501,SEMA6B
1168,140885,SIRPA
1169,254272,TBC1D28
1170,56097,PCDHGC5
1171,7301,TYRO3
1172,387890,TMEM233
1173,170302,ARX
1174,8237,USP11
1175,56144,PCDHA4
1176,646658,SYNDIG1L
1177,2587,GALR1
1178,2561,GABRB2
1179,814,CAMK4
1180,5121,PCP4
1181,84152,PPP1R1B
1182,57613,FAM234B
1183,414899,BLID
1184,51286,CEND1
1185,342977,NANOS3
1186,64106,NPFFR1
1187,116135,LRRC3B
1188,653247,PRB2
1189,4759,NEU2
1190,2779,GNAT1
1191,610,HCN2
1192,692094,MSMP
1193,78997,GDAP1L1
1194,57453,DSCAML1
1195,387597,ILDR2
1196,340529,PABPC1L2A
1197,7102,TSPAN7
1198,201191,SAMD14
1199,6706,SPRR2G
1201,1746,DLX2
1202,80164,PRR36
1203,777,CACNA1E
1204,5368,PNOC
1205,54331,GNG2
1206,26538,OR10H2
1208,401089,FOXL2NB
1209,27289,RND1
1210,84439,HHIPL1
1211,150677,OTOS
1212,205147,AMER3
1213,6704,SPRR2E
1214,151112,ZSWIM2
1215,56133,PCDHB2
1216,3827,KNG1
1217,4588,MUC6
1218,23531,MMD
1219,51298,THEG
1220,64112,MOAP1
1221,22866,CNKSR2
1222,9152,SLC6A5
1223,200407,CREG2
1224,146223,CMTM4
1225,1363,CPE
1226,5744,PTHLH
1227,3358,HTR2C
1228,2914,GRM4
1229,5799,PTPRN2
1230,23209,MLC1
1231,55805,LRP2BP
1232,254263,CNIH2
1233,145407,ARMH4
1234,4137,MAPT
1235,727857,BHLHA9
1236,6913,TBX15
1237,114571,SLC22A9
1239,57540,DISP3
1240,100287226,ZNF729
1241,590,BCHE
1242,11122,PTPRT
1243,3782,KCNN3
1244,138046,RALYL
1245,10675,CSPG5
1246,116931,MED12L
1248,6508,SLC4A3
1249,7200,TRH
1250,27092,CACNG4
1251,10479,SLC9A6
1252,339416,ANKRD45
1253,266722,HS6ST3
1254,260434,PYDC1
1255,390181,OR5AK2
1256,7652,ZNF99
1257,92235,DUSP27
1258,266812,NAP1L5
1260,100287482,SMKR1
1261,414157,C10orf62
1262,27132,CPNE7
1263,2572,GAD2
1264,29118,DDX25
1265,5992,RFX4
1266,143425,SYT9
1267,284069,FAM171A2
1268,57446,NDRG3
1269,6000,RGS7
1270,4294,MAP3K10
1271,3992,FADS1
1272,65009,NDRG4
1273,10178,TENM1
1274,339983,NAT8L
1275,55753,OGDHL
1276,400073,C12orf76
1277,2850,GPR27
1278,6299,SALL1
1279,2840,GPR17
1280,116442,RAB39B
1281,30812,SOX8
1282,24150,TP53TG3
1285,5078,PAX4
1286,10214,SSX3
1287,10098,TSPAN5
1288,23114,NFASC
1289,100008586,GAGE12F
1290,163479,FNDC7
1291,114787,GPRIN1
1292,22859,ADGRL1
1293,885,CCK
1294,51760,SYT17
1295,353149,TBC1D26
1296,340419,RSPO2
1297,23462,HEY1
1298,29114,TAGLN3
1299,57118,CAMK1D
1300,3175,ONECUT1
1301,79698,ZMAT4
