,patient,cond,pharm,session_id,chan,y,z,exp,knee,tau,log_tau,err,r2
1077,Chibi,EyesClosed,Ketamine,0.0,54.0,380.60919540229884,397.5701754385965,1.9986755348849137,45.72187761302114,0.02350758660981112,-1.6287919551303662,0.028604947442581814,0.9964873097187282
1078,Chibi,EyesClosed,Ketamine,0.0,55.0,431.9885057471264,410.1359649122807,2.2427202634414485,148.03699902828518,0.017142732886721402,-1.765919941863696,0.037940918333522373,0.9927816756590455
1079,Chibi,EyesClosed,Ketamine,0.0,56.0,126.2816091954023,255.99561403508773,2.4628315531090865,102.49194219928029,0.02428881398824893,-1.6145936910793601,0.02602550264506774,0.9970580802055626
1080,Chibi,EyesClosed,Ketamine,0.0,57.0,177.66091954022988,279.45175438596493,2.4794995229200567,51.125482152218744,0.032562246988940266,-1.4872856338434328,0.027318172903982734,0.9982087174231615
1081,Chibi,EyesClosed,Ketamine,0.0,58.0,230.7528735632184,296.2061403508772,2.7154779957172113,316.88771553300944,0.01909143099783615,-1.7191615178519084,0.0315646897014572,0.9971357702567053
1082,Chibi,EyesClosed,Ketamine,0.0,59.0,285.5574712643678,312.1228070175439,2.5059594460821533,193.8539044531703,0.019453881074171685,-1.7109937433895417,0.03145979461513452,0.9962477510729041
1083,Chibi,EyesClosed,Ketamine,0.0,60.0,339.5057471264368,330.5526315789474,2.4212329900038263,152.4464487326935,0.019960202055104487,-1.6998350667073265,0.02618892022843066,0.9974590930052776
1084,Chibi,EyesClosed,Ketamine,0.0,61.0,404.58620689655174,353.17105263157896,2.355602855962687,133.0176220620915,0.01996083384119002,-1.699821320510388,0.033105129966313124,0.9957033649848663
1085,Chibi,EyesClosed,Ketamine,0.0,62.0,444.83333333333337,363.2236842105263,2.6954270817633303,758.1821927208302,0.013596521587399673,-1.8665721834399236,0.02321166325595401,0.9976022331058747
1086,Chibi,EyesClosed,Ketamine,0.0,63.0,142.55172413793105,208.24561403508773,2.6151171509445117,298.3270560432298,0.018010150703391323,-1.744482653122864,0.029314322171314,0.9967129824442639
1087,Chibi,EyesClosed,Ketamine,0.0,64.0,193.9310344827586,231.7017543859649,2.612629376714588,113.93116302927199,0.02597930474890106,-1.585372475578466,0.04665346027088268,0.9933663037319717
1088,Chibi,EyesClosed,Ketamine,0.0,65.0,329.75580991340036,1005.8707344091504,2.385235471419155,68.83452834181206,0.0269977459368628,-1.5686724939168242,0.03966742596731988,0.9934993297449903
1089,Chibi,EyesClosed,Ketamine,0.0,66.0,278.92803051507605,977.3571156387769,2.4448300087998738,54.12820535436651,0.031103131570892378,-1.5071958825008156,0.033136116823055485,0.9963911698163894
1090,Chibi,EyesClosed,Ketamine,0.0,67.0,328.45253351857156,952.7317176098182,2.415243843461345,62.51037332325195,0.028722996775632725,-1.541770250529174,0.04306453469502474,0.9944230520153557
1091,Chibi,EyesClosed,Ketamine,0.0,68.0,385.7966948910401,985.1335571216061,2.5130156904116,137.79488702539254,0.022416034793172484,-1.6494412079651934,0.0457272962944438,0.992361050894703
1092,Chibi,EyesClosed,Ketamine,0.0,69.0,444.4441326583375,987.7257042825489,2.7629431709797285,489.34723232044416,0.016918397910463224,-1.7716407649132904,0.05618295303970483,0.9867873069108098
1093,Chibi,EyesClosed,Ketamine,0.0,70.0,490.0588064773465,983.8374835411347,2.9532819927253096,1104.2857848977249,0.014839301390083338,-1.8285865444460443,0.04496072215424813,0.9926038171649081
1094,Chibi,EyesClosed,Ketamine,0.0,71.0,552.6160734291304,987.7257042825489,3.557420046489363,9019.044840532762,0.012303091269232463,-1.9099857542114174,0.04405205597387049,0.9945189870675285
1095,Chibi,EyesClosed,Ketamine,0.0,72.0,615.1733403809142,991.6139250239636,3.5108559834166315,6752.485060374717,0.01291429946276361,-1.888929147191611,0.04411837314055047,0.9932976235368673
1096,Chibi,EyesClosed,Ketamine,0.0,73.0,669.9109489637249,987.7257042825489,3.517116687475024,4571.2349716881945,0.014493906878937956,-1.8388145332822163,0.04706156099439523,0.9930371475084532
1097,Chibi,EyesClosed,Ketamine,0.0,74.0,723.345281151707,986.4296307020775,3.742486279276923,8102.24675316951,0.014369205134870267,-1.8425672551843155,0.05117535522482962,0.9927187429501378
