,GeneID,Symbol,Synonyms
352,554,AVPR2,ADHR|DI1|DIR|DIR3|NDI|V2R
353,558,AXL,ARK|JTK11|Tyro7|UFO
354,563,AZGP1,ZA2G|ZAG
355,566,AZU1,AZAMP|AZU|CAP37|HBP|HUMAZUR|NAZC|hHBP
356,567,B2M,IMD43
357,570,BAAT,BACAT|BAT
358,571,BACH1,BACH-1|BTBD24
359,572,BAD,BBC2|BCL2L8
360,573,BAG1,BAG-1|HAP|RAP46
361,574,BAGE,BAGE1|CT2.1
362,575,ADGRB1,BAI1|GDAIF
363,576,ADGRB2,BAI2
364,577,ADGRB3,BAI3
365,578,BAK1,BAK|BAK-LIKE|BCL2L7|CDN1
366,580,BARD1,-
367,581,BAX,BCL2L4
368,582,BBS1,BBS2L2
369,583,BBS2,BBS|RP74
370,585,BBS4,-
371,586,BCAT1,BCATC|BCT1|ECA39|MECA39|PNAS121|PP18
372,587,BCAT2,BCAM|BCATM|BCT2|PP18
373,590,BCHE,BCHED|CHE1|CHE2|E1
374,593,BCKDHA,BCKDE1A|MSU|MSUD1|OVD1A
375,594,BCKDHB,BCKDE1B|BCKDH E1-beta|E1B
376,595,CCND1,BCL1|D11S287E|PRAD1|U21B31
377,596,BCL2,Bcl-2|PPP1R50
378,597,BCL2A1,ACC-1|ACC-2|ACC1|ACC2|BCL2L5|BFL1|GRS|HBPA1
379,598,BCL2L1,BCL-XL/S|BCL2L|BCLX|Bcl-X|PPP1R52
380,599,BCL2L2,BCL-W|BCL2-L-2|BCLW|PPP1R51
381,602,BCL3,BCL4|D19S37
382,604,BCL6,BCL5|BCL6A|LAZ3|ZBTB27|ZNF51
383,605,BCL7A,BCL7
384,607,BCL9,LGS
385,610,HCN2,BCNG-2|BCNG2|HAC-1
386,611,OPN1SW,BCP|BOP|CBT
387,613,BCR,ALL|BCR1|CML|D22S11|D22S662|PHL
388,617,BCS1L,BCS|BCS1|BJS|FLNMS|GRACILE|Hs.6719|MC3DN1|PTD|h-BCS|h-BCS1
389,622,BDH1,BDH|SDR9C1
390,623,BDKRB1,B1BKR|B1R|BDKRB2|BKB1R|BKR1|BRADYB1
391,624,BDKRB2,B2R|BK-2|BK2|BKR2|BRB2
392,627,BDNF,ANON2|BULN2
393,629,CFB,AHUS4|ARMD14|BF|BFD|CFAB|CFBD|FB|FBI12|GBG|H2-Bf|PBF2
394,631,BFSP1,CP115|CP94|CTRCT33|LIFL-H
395,632,BGLAP,BGP|OC|OCN
396,633,BGN,DSPG1|MRLS|PG-S1|PGI|SEMDX|SLRR1A
397,634,CEACAM1,BGP|BGP1|BGPI
398,635,BHMT,BHMT1|HEL-S-61p
399,636,BICD1,BICD|bic-D 1
400,637,BID,FP497
